Variable Name,Label,Description,Domain,Organ System,Data Type,Unit,Allowable Values / Codes,Min,Max,Mean,Median,Non-Null Count,Missing Count,Missing %,Clinical Threshold,Log Transform,Notes
study_source,Study Source,Identifier for the originating clinical study/trial,Identifier,,String,,"JHB_ACTG_015 | JHB_ACTG_016 | JHB_ACTG_017 | JHB_ACTG_018 | JHB_ACTG_019 | JHB_ACTG_021 | JHB_Aurum_009 | JHB_DPHRU_013 | JHB_DPHRU_053 | JHB_EZIN_025 | JHB_Ezin_002 | JHB_SCHARP_004 | JHB_SCHARP_006 | JHB_VIDA_007 | JHB_VIDA_008 | JHB_WRHI_001 | JHB_WRHI_003",,,,,62154,0,0.0,,,17 study arms from 14 independent Johannesburg clinical studies
patient_id,Patient ID,Pseudonymised unique participant identifier,Identifier,,String,,Alphanumeric codes,,,,,62154,0,0.0,,,12804 unique patients; used for GroupKFold cross-validation to prevent patient leakage
visit_date,Visit Date,Date of clinical visit (YYYY-MM-DD),Identifier,,Date (ISO 8601),,YYYY-MM-DD,2003-10-20,2021-12-09,,,58903,3251,5.2,,,
year,Year,Calendar year of visit,Identifier,,Integer,,2003-2021,2003,2021,2016.34,2017.0,49585,12569,20.2,,,Extracted from visit_date
month,Month,Calendar month of visit (1=Jan to 12=Dec),Identifier,,Integer,,1-12,1,12,6.91,8.0,49585,12569,20.2,,,Extracted from visit_date
season,Season,Southern hemisphere meteorological season,Identifier,,Categorical,,"Summer | Autumn | Winter | Spring",,,,,49585,12569,20.2,,,Summer=Dec-Feb; Autumn=Mar-May; Winter=Jun-Aug; Spring=Sep-Nov
latitude,Latitude,Study site latitude (WGS84),Geospatial,,Float,Decimal degrees,,-26.2041,-26.2041,-26.20,-26.20,62154,0,0.0,,,Johannesburg coordinates; constant across dataset
longitude,Longitude,Study site longitude (WGS84),Geospatial,,Float,Decimal degrees,,27.9394,28.0473,28.04,28.05,62154,0,0.0,,,Two distinct site locations
city,City,City name where study was conducted,Geospatial,,String,,Johannesburg,,,,,62154,0,0.0,,,All records from Johannesburg
age_years,Age (Years),Age of participant at time of visit,Demographic,,Float,years,,13.0,76.0,35.01,34.0,39129,23025,37.0,,,
sex,Sex,Biological sex of participant,Demographic,,Categorical,,"Female | Male | Unknown | Not available",,,,,43733,18421,29.6,,,Female=28565 (65.3%); Male=14927 (34.1%); Unknown=240; Not available=1
race,Race/Ethnicity,Self-reported race or ethnicity,Demographic,,Categorical,,"African Heritage | Asian | Black | Caucasian | Coloured | Other | White",,,,,14957,47197,75.9,,,Only available for subset of studies
hiv_status,HIV Status,HIV infection status at visit,Demographic,,Categorical,,"Positive | Negative | Unknown",,,,,59919,2235,3.6,,,Positive=42174 (70.4%); Negative=1359 (2.3%); Unknown=16386 (27.3%)
hiv_positive,HIV Positive (Binary),Binary HIV status indicator (1=positive; 0=negative),Demographic,,Binary,,0 | 1,0,1,0.94,1.0,44897,17257,27.8,,,
on_art,On Antiretroviral Therapy,Whether participant is on ART,Demographic,,Integer,,0-8,0,8,0.77,1.0,42063,20091,32.3,,,0=Not on ART; 1=On ART; higher values may encode ART regimen
virally_suppressed,Virally Suppressed,Whether HIV viral load is suppressed below detection limit,Immunological,,Binary,,0 | 1,,,,,0,62154,100.0,,,Not populated in this dataset version
cd4_count,CD4 Count,CD4+ T-lymphocyte count,Biomarker,Immunological,Float,cells/uL,,0.07,9999.0,536.76,340.0,18840,43314,69.7,50.0,No,Primary immunological marker
viral_load,HIV Viral Load,Plasma HIV-1 RNA copies,Biomarker,Immunological,Float,copies/mL,,0.0,99999999.0,1030233.80,75.0,25404,36750,59.1,1000.0,Yes,Use log10_viral_load for analysis; ACTG_016 and WRHI_003 placeholder codes removed
viral_load_undetectable,Viral Load Undetectable,Binary indicator for undetectable viral load,Immunological,,Binary,,0 | 1,0,1,0.61,1.0,26797,35357,56.9,,,1=Below detection limit
log10_viral_load,Log10 Viral Load,Base-10 logarithm of HIV viral load,Biomarker,Immunological,Float,log10(copies/mL),,0.0,8.0,2.48,1.59,18421,43733,70.4,,No,Derived from viral_load
viral_load_wrhi003_category,Viral Load WRHI003 Category,Legacy WRHI_003 viral load category codes,Immunological,,Float,,,,,,,0,62154,100.0,,,Not populated; original placeholder codes removed during QC
hemoglobin,Hemoglobin,Blood hemoglobin concentration,Biomarker,Body Composition / Hematological,Float,g/dL,,1.7,153.2,13.54,13.6,19796,42358,68.2,1.0,No,
hematocrit,Hematocrit,Proportion of blood volume occupied by red blood cells,Biomarker,Body Composition / Hematological,Float,%,,0.144,60.3,10.53,0.44,17514,44640,71.8,3.0,No,Mixed units across studies (fraction and percentage)
rbc_count,Red Blood Cell Count,Red blood cell count,Biomarker,Body Composition / Hematological,Float,x10^12/L,,,,,,0,62154,100.0,,,Not populated in this dataset version
wbc_count,White Blood Cell Count,White blood cell count,Biomarker,Inflammatory,Float,x10^9/L,,,,,,0,62154,100.0,,,Not populated in this dataset version
platelet_count,Platelet Count,Blood platelet count,Biomarker,Body Composition / Hematological,Float,x10^9/L,,,,,,0,62154,100.0,,,Not populated in this dataset version
mcv,Mean Corpuscular Volume,Average volume of red blood cells,Biomarker,Body Composition / Hematological,Float,fL,,57.0,124.1,90.79,91.1,9441,52713,84.8,,,
mch,Mean Corpuscular Hemoglobin,Average hemoglobin content per red blood cell,Biomarker,Body Composition / Hematological,Float,pg,,15.2,42.6,29.54,29.7,9039,53115,85.5,,,
mchc,Mean Corpuscular Hemoglobin Concentration,Average hemoglobin concentration in red blood cells,Biomarker,Body Composition / Hematological,Float,g/dL,,26.7,38.1,32.47,32.5,9039,53115,85.5,,,
rdw,Red Cell Distribution Width,Variation in red blood cell size,Biomarker,Body Composition / Hematological,Float,%,,10.8,35.9,14.56,14.2,9037,53117,85.5,,,
