rank,biomarker,organ_system,modifier,modifier_category,temperature_feature,mean_abs_interaction,scaled_within_biomarker,q_value_BH
1,Waist-hip ratio,body_composition,Male (vs F),Sex,21d,0.0017,1.0,0.008
2,Waist-hip ratio,body_composition,age years,Age,21d,0.0015,0.8883,0.008
3,Waist-hip ratio,body_composition,education level Secondary incomplete,SES,14d,0.0013,0.7666,0.008
4,Waist-hip ratio,body_composition,Male (vs F),Sex,14d,0.0009,0.5247,0.008
5,Waist-hip ratio,body_composition,education level Secondary incomplete,SES,1d,0.0007,0.4144,0.008
6,Waist-hip ratio,body_composition,Male (vs F),Sex,30d,0.0006,0.371,0.008
7,Waist-hip ratio,body_composition,era5 temp range c,Temp×Temp,14d,0.0006,0.3574,0.008
8,Waist-hip ratio,body_composition,temp lag 30d,Temp×Temp,1d,0.0006,0.352,0.008
9,Waist-hip ratio,body_composition,temp lag 7d,Temp×Temp,0d,0.0006,0.3386,0.008
10,Waist-hip ratio,body_composition,age years,Age,30d,0.001,0.6005,0.0131
11,Waist-hip ratio,body_composition,era5 temp range c,Temp×Temp,21d,0.0006,0.3629,0.0131
12,Hip circumference,body_composition,Male (vs F),Sex,30d,0.2885,1.0,0.019
13,Hip circumference,body_composition,Male (vs F),Sex,14d,0.2214,0.7674,0.019
14,Hip circumference,body_composition,Male (vs F),Sex,7d,0.1325,0.4594,0.019
15,Hip circumference,body_composition,temp lag 30d,Temp×Temp,14d,0.1135,0.3936,0.019
16,Haematocrit,inflammatory,Male (vs F),Sex,3d,0.0386,1.0,0.026
17,Haematocrit,inflammatory,Male (vs F),Sex,21d,0.0383,0.9937,0.026
18,Haematocrit,inflammatory,Male (vs F),Sex,1d,0.0283,0.7327,0.026
19,Waist-hip ratio,body_composition,temp lag 3d,Temp×Temp,1d,0.0006,0.3427,0.03
20,Creatinine,renal,Male (vs F),Sex,3d,0.1266,1.0,0.032
21,Creatinine,renal,Male (vs F),Sex,30d,0.1078,0.8514,0.032
22,Body fat %,body_composition,temp lag 30d,Temp×Temp,14d,0.0857,1.0,0.033
23,Body fat %,body_composition,temp lag 3d,Temp×Temp,0d,0.0583,0.6805,0.033
24,Haematocrit,inflammatory,era5 temp range c,Temp×Temp,7d,0.0267,0.6928,0.0585
25,Body fat %,body_composition,temp lag 3d,Temp×Temp,1d,0.0702,0.8189,0.066
26,Albumin,hepatic,Male (vs F),Sex,3d,0.0344,1.0,0.072
27,Albumin,hepatic,Male (vs F),Sex,30d,0.0301,0.8743,0.072
28,LDL-cholesterol,lipid,temp lag 30d,Temp×Temp,14d,0.0076,1.0,0.072
29,LDL-cholesterol,lipid,year,Temp×Temp,21d,0.0068,0.8986,0.072
30,Waist-hip ratio,body_composition,temp lag 3d,Temp×Temp,0d,0.0008,0.4538,0.0775
31,Systolic BP,cardiovascular,Male (vs F),Sex,1d,0.0575,1.0,0.078
32,Waist-hip ratio,body_composition,temp lag 7d,Temp×Temp,3d,0.0006,0.3633,0.0977
